ebl,ibl,gtop,itop,count
10,13.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",6539
10,13.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",6586
10,14,"(4,(3,(1,2)));","(4,(1,(2,3)));",6756
10,14,"(4,(3,(1,2)));","(4,(2,(1,3)));",6568
10,14,"(4,(3,(1,2)));","(4,(3,(1,2)));",6676
10,14.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",2298
10,14.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",2206
10,14.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",15496
10,0.0199999999999996,"(4,(1,(2,3)));","(4,(1,(2,3)));",2050
10,0.0199999999999996,"(4,(1,(2,3)));","(4,(2,(1,3)));",1939
10,0.0199999999999996,"(4,(1,(2,3)));","(4,(3,(1,2)));",3263
10,0.0199999999999996,"(4,(2,(1,3)));","(4,(1,(2,3)));",2045
10,0.0199999999999996,"(4,(2,(1,3)));","(4,(2,(1,3)));",2000
10,0.0199999999999996,"(4,(2,(1,3)));","(4,(3,(1,2)));",3410
10,0.0199999999999996,"(4,(3,(1,2)));","(4,(1,(2,3)));",2338
10,0.0199999999999996,"(4,(3,(1,2)));","(4,(2,(1,3)));",2278
10,0.0199999999999996,"(4,(3,(1,2)));","(4,(3,(1,2)));",3834
10,0.0399999999999991,"(4,(1,(2,3)));","(4,(1,(2,3)));",2373
10,0.0399999999999991,"(4,(1,(2,3)));","(4,(2,(1,3)));",2301
10,0.0399999999999991,"(4,(1,(2,3)));","(4,(3,(1,2)));",4452
10,0.0399999999999991,"(4,(2,(1,3)));","(4,(1,(2,3)));",2373
10,0.0399999999999991,"(4,(2,(1,3)));","(4,(2,(1,3)));",2261
10,0.0399999999999991,"(4,(2,(1,3)));","(4,(3,(1,2)));",4612
10,0.0399999999999991,"(4,(3,(1,2)));","(4,(1,(2,3)));",2997
10,0.0399999999999991,"(4,(3,(1,2)));","(4,(2,(1,3)));",2901
10,0.0399999999999991,"(4,(3,(1,2)));","(4,(3,(1,2)));",5730
10,0.0700000000000003,"(4,(1,(2,3)));","(4,(1,(2,3)));",1278
10,0.0700000000000003,"(4,(1,(2,3)));","(4,(2,(1,3)));",1271
10,0.0700000000000003,"(4,(1,(2,3)));","(4,(3,(1,2)));",2255
10,0.0700000000000003,"(4,(2,(1,3)));","(4,(1,(2,3)));",1322
10,0.0700000000000003,"(4,(2,(1,3)));","(4,(2,(1,3)));",1359
10,0.0700000000000003,"(4,(2,(1,3)));","(4,(3,(1,2)));",2266
10,0.0700000000000003,"(4,(3,(1,2)));","(4,(1,(2,3)));",1894
10,0.0700000000000003,"(4,(3,(1,2)));","(4,(2,(1,3)));",1909
10,0.0700000000000003,"(4,(3,(1,2)));","(4,(3,(1,2)));",3183
10,0.0899999999999999,"(4,(1,(2,3)));","(4,(1,(2,3)));",938
10,0.0899999999999999,"(4,(1,(2,3)));","(4,(2,(1,3)));",934
10,0.0899999999999999,"(4,(1,(2,3)));","(4,(3,(1,2)));",2331
10,0.0899999999999999,"(4,(2,(1,3)));","(4,(1,(2,3)));",998
10,0.0899999999999999,"(4,(2,(1,3)));","(4,(2,(1,3)));",921
10,0.0899999999999999,"(4,(2,(1,3)));","(4,(3,(1,2)));",2268
10,0.0899999999999999,"(4,(3,(1,2)));","(4,(1,(2,3)));",1496
10,0.0899999999999999,"(4,(3,(1,2)));","(4,(2,(1,3)));",1528
10,0.0899999999999999,"(4,(3,(1,2)));","(4,(3,(1,2)));",3618
20,0.0199999999999996,"(4,(1,(2,3)));","(4,(1,(2,3)));",632
20,0.0199999999999996,"(4,(1,(2,3)));","(4,(2,(1,3)));",577
20,0.0199999999999996,"(4,(1,(2,3)));","(4,(3,(1,2)));",2510
20,0.0199999999999996,"(4,(2,(1,3)));","(4,(1,(2,3)));",622
20,0.0199999999999996,"(4,(2,(1,3)));","(4,(2,(1,3)));",634
20,0.0199999999999996,"(4,(2,(1,3)));","(4,(3,(1,2)));",2509
20,0.0199999999999996,"(4,(3,(1,2)));","(4,(1,(2,3)));",702
20,0.0199999999999996,"(4,(3,(1,2)));","(4,(2,(1,3)));",629
20,0.0199999999999996,"(4,(3,(1,2)));","(4,(3,(1,2)));",2752
20,0.120000000000001,"(4,(1,(2,3)));","(4,(1,(2,3)));",2090
20,0.120000000000001,"(4,(1,(2,3)));","(4,(2,(1,3)));",1973
20,0.120000000000001,"(4,(1,(2,3)));","(4,(3,(1,2)));",6417
20,0.120000000000001,"(4,(2,(1,3)));","(4,(1,(2,3)));",2080
20,0.120000000000001,"(4,(2,(1,3)));","(4,(2,(1,3)));",1996
20,0.120000000000001,"(4,(2,(1,3)));","(4,(3,(1,2)));",6490
20,0.120000000000001,"(4,(3,(1,2)));","(4,(1,(2,3)));",3706
20,0.120000000000001,"(4,(3,(1,2)));","(4,(2,(1,3)));",3624
20,0.120000000000001,"(4,(3,(1,2)));","(4,(3,(1,2)));",11783
20,0.16,"(4,(1,(2,3)));","(4,(1,(2,3)));",1722
20,0.16,"(4,(1,(2,3)));","(4,(2,(1,3)));",1648
20,0.16,"(4,(1,(2,3)));","(4,(3,(1,2)));",2749
20,0.16,"(4,(2,(1,3)));","(4,(1,(2,3)));",1675
20,0.16,"(4,(2,(1,3)));","(4,(2,(1,3)));",1756
20,0.16,"(4,(2,(1,3)));","(4,(3,(1,2)));",2727
20,0.16,"(4,(3,(1,2)));","(4,(1,(2,3)));",3721
20,0.16,"(4,(3,(1,2)));","(4,(2,(1,3)));",3639
20,0.16,"(4,(3,(1,2)));","(4,(3,(1,2)));",5893
20,0.18,"(4,(1,(2,3)));","(4,(1,(2,3)));",1705
20,0.18,"(4,(1,(2,3)));","(4,(2,(1,3)));",1721
20,0.18,"(4,(1,(2,3)));","(4,(3,(1,2)));",6662
20,0.18,"(4,(2,(1,3)));","(4,(1,(2,3)));",1632
20,0.18,"(4,(2,(1,3)));","(4,(2,(1,3)));",1603
20,0.18,"(4,(2,(1,3)));","(4,(3,(1,2)));",6294
20,0.18,"(4,(3,(1,2)));","(4,(1,(2,3)));",3762
20,0.18,"(4,(3,(1,2)));","(4,(2,(1,3)));",3669
20,0.18,"(4,(3,(1,2)));","(4,(3,(1,2)));",14363
