,"1,2","1,3","1,4","2,3","2,4","3,4"
2740,180.18,186.45999999999998,226.20999999999998,186.45999999999998,226.20999999999998,226.20999999999998
2741,180.298,186.96,228.26,186.96,228.26,228.26
2742,181.104,186.423,226.14,186.423,226.14,226.14100000000002
2743,180.958,186.69199999999998,226.47999999999996,186.69199999999998,226.47999999999996,226.48000000000002
2744,180.008,187.18,226.54,187.18,226.54,226.54
2745,181.194,186.594,226.444,186.594,226.444,226.444
2746,181.628,186.102,228.77800000000002,186.102,228.77800000000002,228.77800000000002
2747,181.062,187.492,229.67000000000002,187.492,229.67000000000002,229.67000000000002
2748,180.158,188.41,228.138,188.41,228.138,228.13799999999998
2749,182.25,186.10199999999998,226.012,186.10199999999998,226.012,226.012
2750,180.402,186.49399999999997,227.402,186.49399999999997,227.402,227.402
2751,180.164,186.182,226.48999999999998,186.182,226.48999999999998,226.49
2752,186.606,186.606,226.55599999999998,186.1,226.55599999999995,226.55599999999995
2753,183.412,186.304,226.157,186.304,226.157,226.15699999999998
2754,180.25,186.854,226.19,186.854,226.19,226.19
2755,180.78,187.492,229.374,187.492,229.374,229.374
2756,180.836,186.336,226.486,186.336,226.486,226.486
2757,183.008,187.056,226.322,187.056,226.322,226.322
2758,180.258,186.15099999999998,227.73700000000002,186.15099999999998,227.73700000000002,227.738
2759,180.456,187.922,226.27800000000002,187.922,226.27800000000002,226.27800000000002
2760,181.566,186.474,226.202,186.474,226.202,226.202
2761,181.606,186.946,226.004,186.946,226.004,226.004
2762,180.88,186.255,226.34700000000004,186.255,226.34700000000004,226.348
2763,180.642,187.397,226.837,187.397,226.837,226.836
2764,180.04,186.946,226.115,186.946,226.115,226.11499999999998
2765,180.046,186.44,227.551,186.44,227.551,227.551
2766,181.062,188.046,227.44,188.046,227.44,227.44
2767,180.006,190.384,226.24599999999998,190.384,226.24599999999998,226.24599999999998
2768,180.54,186.41,226.062,186.41,226.062,226.062
2769,180.976,186.25699999999998,226.41899999999998,186.25699999999998,226.41899999999998,226.418
2770,180.42,187.21099999999998,229.07999999999998,187.21099999999998,229.07999999999998,229.07899999999998
2771,180.124,186.42,226.88599999999997,186.42,226.88599999999997,226.886
