count,e,i,e_gt,e_it
21160,50,0.040,50.4839000945179,0.261890348234358
14302,50,0.050,50.4943942105999,0.289022541575766
16195,50,0.070,50.495680024699,0.14137321142126
1090,50,0.110,50.4918981651376,0.604737834981651
20000,50,0.150,50.5113402,2.0762557715509
20000,50,0.175,50.51124,1.36618130563515
15554,50,0.030,50.4942946508937,0.762996345944414
25661,50,0.060,50.5069669537427,1.06713170927432
25874,50,0.090,50.4956955631135,0.581604254956975
5000,50,0.160,50.4906426,0.10466271958
12924,50,0.500,50.5001063138347,0.525108668497276
15566,50,1.500,50.4881403057946,0.506121693705448
30000,50,2.000,50.4916504,0.755789456637101
16970,50,2.500,50.4966973482616,0.426494094184908
11089,50,3.000,50.4967746415366,0.870447350736134
15158,50,3.500,50.4967603905528,0.766643605319534
23488,50,4.000,50.4966449250681,0.578871223748556
40000,50,6.000,50.4993395500001,0.957866639962114
20000,50,6.500,50.4969085,1.2536205923795
20000,50,9.500,50.5080409999999,1.6657949117176
15000,50,10.000,50.5072811333333,1.58599933686953
20000,50,11.000,50.4870599,1.82909897409955
15000,50,12.000,50.5002913333333,1.00315137303265
15000,50,13.000,50.4983970666665,1.66799878377507
45247,50,0.020,50.4878736269808,0.926454023804556
5000,50,0.080,50.5003080000001,0.89866689902366
9441,50,0.100,50.4999678000212,0.394874672474737
5000,50,0.120,50.4981023999999,0.901340472684201
2494,50,0.140,50.4987301523657,0.602144316381716
50427,50,0.180,50.495615325123,0.668797157890017
15419,50,0.200,50.5101507879889,0.636472167963227
23067,60,0.040,60.4905175792254,1.24916790545979
483,60,0.110,60.4942070393375,0.305685823583851
11448,60,0.130,60.5095966981133,0.471446647861029
10189,60,0.150,60.5050837177348,0.670122138089018
23382,60,0.170,60.485249850312,0.38939599827551
